=== LLM COST TRACKING ===
Time     | Model        | Input Tokens (Cost)   | Output Tokens (Cost) | Total Cost
-------------------------------------------------------------------------------------
06:14:18 | gemini-1.5-pro | In: 3741tok($ 0.0047) | Out:  52tok($ 0.0003) | Total:$ 0.0049
06:14:58 | gemini-1.5-pro | In: 3853tok($ 0.0048) | Out:  64tok($ 0.0003) | Total:$ 0.0051
06:15:35 | gemini-1.5-pro | In: 3732tok($ 0.0047) | Out:  54tok($ 0.0003) | Total:$ 0.0049
06:15:49 | gemini-1.5-pro | In: 3818tok($ 0.0048) | Out:  94tok($ 0.0005) | Total:$ 0.0052
06:19:43 | gemini-1.5-pro | In: 3732tok($ 0.0047) | Out:  69tok($ 0.0003) | Total:$ 0.0050
06:20:01 | gemini-1.5-pro | In: 3759tok($ 0.0047) | Out: 135tok($ 0.0007) | Total:$ 0.0054
06:22:18 | gemini-1.5-pro | In: 3896tok($ 0.0049) | Out:  95tok($ 0.0005) | Total:$ 0.0053
06:33:19 | gpt-4o       | In: 7392tok($ 0.0185) | Out:  42tok($ 0.0004) | Total:$ 0.0189
06:34:26 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  53tok($ 0.0005) | Total:$ 0.0185
06:35:24 | gpt-4o       | In: 7200tok($ 0.0180) | Out:  68tok($ 0.0007) | Total:$ 0.0187
06:35:56 | gpt-4o       | In: 7289tok($ 0.0182) | Out:  44tok($ 0.0004) | Total:$ 0.0187
06:39:24 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  81tok($ 0.0008) | Total:$ 0.0187
06:39:36 | gpt-4o       | In: 7228tok($ 0.0181) | Out:  78tok($ 0.0008) | Total:$ 0.0188
06:39:59 | gpt-4o       | In: 7325tok($ 0.0183) | Out:  60tok($ 0.0006) | Total:$ 0.0189
06:42:46 | gpt-4o       | In: 7190tok($ 0.0180) | Out:  51tok($ 0.0005) | Total:$ 0.0185
06:42:54 | gpt-4o       | In: 7215tok($ 0.0180) | Out:  50tok($ 0.0005) | Total:$ 0.0185
06:43:14 | gpt-4o       | In: 7269tok($ 0.0182) | Out:  58tok($ 0.0006) | Total:$ 0.0188
06:44:31 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  62tok($ 0.0006) | Total:$ 0.0186
06:44:38 | gpt-4o       | In: 7211tok($ 0.0180) | Out:  85tok($ 0.0009) | Total:$ 0.0189
06:45:12 | gpt-4o       | In: 7315tok($ 0.0183) | Out:  67tok($ 0.0007) | Total:$ 0.0190
06:47:23 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  43tok($ 0.0004) | Total:$ 0.0184
06:47:34 | gpt-4o       | In: 7190tok($ 0.0180) | Out:  71tok($ 0.0007) | Total:$ 0.0187
06:48:11 | gpt-4o       | In: 7286tok($ 0.0182) | Out:  56tok($ 0.0006) | Total:$ 0.0188
06:51:50 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  82tok($ 0.0008) | Total:$ 0.0188
06:52:10 | gpt-4o       | In: 7216tok($ 0.0180) | Out:  62tok($ 0.0006) | Total:$ 0.0187
06:52:33 | gpt-4o       | In: 7312tok($ 0.0183) | Out:  51tok($ 0.0005) | Total:$ 0.0188
06:56:01 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  43tok($ 0.0004) | Total:$ 0.0184
06:56:08 | gpt-4o       | In: 7177tok($ 0.0179) | Out:  71tok($ 0.0007) | Total:$ 0.0187
06:56:28 | gpt-4o       | In: 7282tok($ 0.0182) | Out:  42tok($ 0.0004) | Total:$ 0.0186
06:58:54 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  59tok($ 0.0006) | Total:$ 0.0185
06:59:12 | gpt-4o       | In: 7193tok($ 0.0180) | Out:  59tok($ 0.0006) | Total:$ 0.0186
06:59:33 | gpt-4o       | In: 7272tok($ 0.0182) | Out:  56tok($ 0.0006) | Total:$ 0.0187
11:17:49 | gpt-4o       | In: 7190tok($ 0.0180) | Out:  92tok($ 0.0009) | Total:$ 0.0189
11:18:06 | gpt-4o       | In: 7226tok($ 0.0181) | Out:  79tok($ 0.0008) | Total:$ 0.0189
11:18:35 | gpt-4o       | In: 7339tok($ 0.0183) | Out:  38tok($ 0.0004) | Total:$ 0.0187
12:32:37 | gpt-4o       | In: 7173tok($ 0.0179) | Out:  83tok($ 0.0008) | Total:$ 0.0188
12:33:10 | gpt-4o       | In: 7217tok($ 0.0180) | Out:  63tok($ 0.0006) | Total:$ 0.0187
12:33:31 | gpt-4o       | In: 7298tok($ 0.0182) | Out:  47tok($ 0.0005) | Total:$ 0.0187
12:34:00 | gpt-4o       | In: 7353tok($ 0.0184) | Out:  73tok($ 0.0007) | Total:$ 0.0191
12:39:03 | gpt-4o       | In: 7190tok($ 0.0180) | Out:  92tok($ 0.0009) | Total:$ 0.0189
12:39:10 | gpt-4o       | In: 7244tok($ 0.0181) | Out:  38tok($ 0.0004) | Total:$ 0.0185
12:42:26 | gpt-4o       | In: 7515tok($ 0.0188) | Out:  37tok($ 0.0004) | Total:$ 0.0192
12:42:51 | gpt-4o       | In: 7513tok($ 0.0188) | Out:  71tok($ 0.0007) | Total:$ 0.0195
12:43:13 | gpt-4o       | In: 7604tok($ 0.0190) | Out:  48tok($ 0.0005) | Total:$ 0.0195
12:46:18 | gpt-4o       | In: 7532tok($ 0.0188) | Out:  90tok($ 0.0009) | Total:$ 0.0197
12:46:39 | gpt-4o       | In: 7584tok($ 0.0190) | Out:  46tok($ 0.0005) | Total:$ 0.0194
12:50:40 | gpt-4o       | In: 7532tok($ 0.0188) | Out:  70tok($ 0.0007) | Total:$ 0.0195
12:51:04 | gpt-4o       | In: 7560tok($ 0.0189) | Out:  47tok($ 0.0005) | Total:$ 0.0194
12:51:42 | gpt-4o       | In: 7532tok($ 0.0188) | Out: 103tok($ 0.0010) | Total:$ 0.0199
12:54:12 | gpt-4o       | In: 7597tok($ 0.0190) | Out:  49tok($ 0.0005) | Total:$ 0.0195
12:54:38 | gpt-4o       | In: 7532tok($ 0.0188) | Out:  94tok($ 0.0009) | Total:$ 0.0198
12:55:47 | gpt-4o       | In: 7532tok($ 0.0188) | Out:  76tok($ 0.0008) | Total:$ 0.0196
12:59:07 | gpt-4o       | In: 7734tok($ 0.0193) | Out:  46tok($ 0.0005) | Total:$ 0.0198
12:59:46 | gpt-4o       | In: 7741tok($ 0.0194) | Out:  34tok($ 0.0003) | Total:$ 0.0197
13:00:22 | gpt-4o       | In: 7777tok($ 0.0194) | Out:  34tok($ 0.0003) | Total:$ 0.0198
13:07:05 | gpt-4o       | In: 7532tok($ 0.0188) | Out:  87tok($ 0.0009) | Total:$ 0.0197
13:07:38 | gpt-4o       | In: 7582tok($ 0.0190) | Out:  50tok($ 0.0005) | Total:$ 0.0195
